"hgnc_id","family_id"
"11148","3"
"3960","3"
"3961","3"
"8356","154"
"8357","154"
"8361","154"
"8363","154"
"15399","154"
"15337","154"
"8364","154"
"8370","154"
"8366","154"
"8368","154"
"8371","154"
"8373","154"
"8374","154"
"31308","154"
"8377","154"
"8378","154"
"8380","154"
"15048","154"
"15342","154"
"15043","154"
"15343","154"
"13187","8"
"13188","8"
"13189","8"
"15770","8"
"14264","1221"
"14377","1221"
"14378","1221"
"12705","10"
"12706","10"
"16431","10"
"12642","12"
"12643","12"
"12644","12"
"12645","12"
"12646","12"
"11486","12"
"12647","12"
"34892","841"
"35097","841"
"35095","841"
"34945","841"
"35038","841"
"35027","841"
"2890","1221"
"17553","4"
"25656","4"
"16407","4"
"15868","4"
"19837","4"
"20293","4"
"24538","4"
"28235","4"
"26971","4"
"13921","4"
"16128","4"
"28756","4"
"24278","4"
"26925","4"
"18717","4"
"18718","4"
"20154","4"
"21396","4"
"21398","4"
"23759","4"
"23760","4"
"23758","4"
"15364","154"
"15365","154"
"15117","154"
"15118","154"
"8381","154"
"15126","154"
"15344","154"
"15127","154"
"15122","154"
"15303","154"
"8382","154"
"15049","154"
"15050","154"
"15098","154"
"15304","154"
"15305","154"
"15052","154"
"8383","154"
"15053","154"
"19557","154"
"8384","154"
"19561","154"
"19618","154"
"19642","154"
"19589","154"
"8385","154"
"31309","154"
"31310","154"
"32706","845"
"32763","845"
"32764","845"
"10099","845"
"32766","845"
"32767","845"
"32744","845"
"32768","845"
"32769","845"
"33572","845"
"32771","845"
"32772","845"
"32773","845"
"32774","845"
"32707","845"
"32775","845"
"32776","845"
"33579","845"
"32777","845"
"32980","845"
"32981","845"
"32982","845"
"32983","845"
"32984","845"
"32985","845"
"32986","845"
"8663","20"
"8664","20"
"8665","20"
"8666","20"
"8667","20"
"2163","20"
"8668","20"
"8669","20"
"8670","20"
"8671","20"
"8672","20"
"8673","20"
"8674","20"
"8675","20"
"8662","20"
"8676","20"
"8677","20"
"8678","20"
"8680","20"
"8681","20"
"8682","20"
"8683","20"
"8684","20"
"8685","20"
"8686","20"
"14546","20"
"14547","20"
"14548","20"
"14549","20"
"8687","20"
"8688","20"
"8689","20"
"8690","20"
"8691","20"
"8692","20"
"8693","20"
"8694","20"
"8679","20"
"8695","20"
"8696","20"
"8697","20"
"8698","20"
"8699","20"
"8700","20"
"8701","20"
"8702","20"
"8703","20"
"8704","20"
"8705","20"
"8706","20"
"8707","20"
"8708","20"
"8709","20"
"8710","20"
"8711","20"
"8712","20"
"8713","20"
"8714","20"
"8715","20"
"15688","20"
"8716","20"
"8717","20"
"8718","20"
"8719","20"
"8655","21"
"13404","21"
"8656","21"
"15813","21"
"8657","21"
"14267","21"
"14268","21"
"14270","21"
"14257","21"
"8659","21"
"8660","21"
"8661","21"
"7076","1300"
"18432","1300"
"24008","1300"
"8517","1300"
"28426","1332"
"24825","1332"
"3942","1332"
"30287","1332"
"32987","845"
"32988","845"
"32989","845"
"32998","845"
"32999","845"
"33000","845"
"9001","1151"
"9002","1151"
"21045","1151"
"13233","27"
"16677","27"
"16675","27"
"16676","27"
"16673","27"
"9003","1151"
"21044","1151"
"21043","1151"
"33001","845"
"33002","845"
"33003","845"
"33004","845"
"33005","845"
"33006","845"
"33007","845"
"32990","845"
"33008","845"
"20589","91"
"21086","91"
"30577","91"
"30990","91"
"29027","91"
"24523","91"
"3058","91"
"3057","91"
"23279","91"
"11280","91"
"12635","91"
"2928","91"
"3373","91"
"31311","154"
"31231","154"
"31232","154"
"31312","154"
"8386","154"
"31233","154"
"31234","154"
"28374","154"
"45040","154"
"8387","154"
"8389","154"
"8390","154"
"8391","154"
"8393","154"
"8394","154"
"8395","154"
"8396","154"
"8397","154"
"8398","154"
"8400","154"
"8401","154"
"8402","154"
"8404","154"
"8406","154"
"8408","154"
"8409","154"
"8410","154"
"8411","154"
"8412","154"
"8415","154"
"8417","154"
"8420","154"
"8421","154"
"8424","154"
"8428","154"
"8430","154"
"8434","154"
"8435","154"
"8438","154"
"8442","154"
"8457","154"
"14688","154"
"14690","154"
"14692","154"
"14694","154"
"14709","154"
"14730","154"
"8458","154"
"14733","154"
"14747","154"
"14780","154"
"14789","154"
"14815","154"
"14834","154"
"15059","154"
"8465","154"
"31313","154"
"8466","154"
"8467","154"
"8468","154"
"31314","154"
"15366","154"
"14827","154"
"15128","154"
"15022","163"
"15024","163"
"15026","163"
"19575","163"
"13971","163"
"15025","163"
"15023","163"
"277","169"
"278","169"
"280","169"
"281","169"
"282","169"
"283","169"
"285","169"
"286","169"
"288","169"
"17734","188"
"4514","188"
"4513","188"
"31924","188"
"30236","188"
"20978","188"
"31925","188"
"14964","188"
"20977","188"
"30781","91"
"3032","91"
"6746","91"
"4868","91"
"2348","91"
"4579","1199"
"4580","1199"
"4581","1199"
"4582","1199"
"4583","1199"
"8469","155"
"15306","155"
"31315","155"
"14751","155"
"15307","155"
"8470","155"
"8471","155"
"8472","155"
"8473","155"
"8474","155"
"8475","155"
"8476","155"
"8477","155"
"14746","155"
"8478","155"
"8481","155"
"8482","155"
"14840","155"
"14691","155"
"8484","155"
"8485","155"
"14698","155"
"19622","155"
"19625","155"
"14824","155"
"15308","155"
"15309","155"
"14828","155"
"15310","155"
"31316","155"
"14855","155"
"15311","155"
"15312","155"
"14831","155"
"14832","155"
"15313","155"
"15314","155"
"15315","155"
"15316","155"
"15317","155"
"15318","155"
"19628","155"
"31317","155"
"19630","155"
"19611","155"
"27538","155"
"29166","155"
"19613","155"
"31318","155"
"16628","752"
"24682","752"
"20105","752"
"26177","752"
"17586","752"
"17587","752"
"10006","752"
"14572","752"
"18140","752"
"10905","752"
"10906","752"
"22979","752"
"22980","752"
"22981","752"
"30603","752"
"23088","752"
"10907","752"
"10908","752"
"10910","752"
"10911","752"
"10912","752"
"10913","752"
"13818","752"
"10914","752"
"10915","752"
"5283","971"
"5284","971"
"11369","971"
"2674","1021"
"2675","1021"
"2676","1021"
